code,name
110100,市辖区
110103,崇文区
110104,宣武区
110110,燕山区
110201,昌平县
110202,顺义县
110203,通县
110204,大兴县
110205,房山县
110206,平谷县
110207,怀柔县
110208,密云县
110209,延庆县
110221,昌平县
110222,顺义县
110223,通县
110224,大兴县
110225,房山县
110226,平谷县
110227,怀柔县
110228,密云县
110229,延庆县
120100,市辖区
120107,塘沽区
120108,汉沽区
120109,大港区
120201,宁河县
120202,武清县
120203,静海县
120204,宝坻县
120205,蓟县
120221,宁河县
120222,武清县
120223,静海县
120224,宝坻县
120225,蓟县
130101,市辖区
130103,桥东区
130106,郊区
130122,获鹿县
130124,栾城县
130181,辛集市
130182,藁城市
130183,晋州市
130184,新乐市
130185,鹿泉市
130200,唐山市
130201,市辖区
130202,路南区
130203,路北区
130204,古冶区
130205,开平区
130206,新区
130207,丰南区
130208,丰润区
130209,曹妃甸区
130221,丰润县
130222,丰南县
130223,滦县
130224,滦南县
130225,乐亭县
130226,迁安县
130227,迁西县
130228,遵化县
130229,玉田县
130230,唐海县
130282,丰南市
130301,市辖区
130305,郊区
130323,抚宁县
130401,市辖区
130405,郊区
130421,邯郸县
130422,武安县
130428,肥乡县
130429,永年县
130501,市辖区
130504,郊区
130521,邢台县
130526,任县
130527,南和县
130601,市辖区
130603,北市区
130604,南市区
130605,郊区
130621,满城县
130622,清苑县
130625,徐水县
130701,市辖区
130704,茶坊区
130707,庞家堡区
130721,宣化县
130729,万全县
130733,崇礼县
130801,市辖区
130823,平泉县
130901,市辖区
130904,郊区
131001,市辖区
131021,三河县
131027,霸县
131101,市辖区
131181,冀州市
132100,邯郸地区
132101,邯郸市
132102,邯山区
132103,丛台区
132104,复兴区
132105,郊区
132106,峰峰矿区
132121,大名县
132122,魏县
132123,曲周县
132124,丘县
132125,鸡泽县
132126,肥乡县
132127,广平县
132128,成安县
132129,临漳县
132130,磁县
132131,武安县
132132,涉县
132133,永年县
132134,邯郸县
132135,馆陶县
132200,邢台地区
132201,南宫市
132202,沙河市
132203,桥西区
132204,郊区
132221,邢台县
132222,沙河县
132223,临城县
132224,内丘县
132225,柏乡县
132226,隆尧县
132227,任县
132228,南和县
132229,宁晋县
132230,南宫县
132231,巨鹿县
132232,新河县
132233,广宗县
132234,平乡县
132235,威县
132236,清河县
132237,临西县
132300,石家庄地区
132301,辛集市
132302,藁城市
132303,晋州市
132304,新乐市
132321,束鹿县
132322,晋县
132323,深泽县
132324,无极县
132325,藁城县
132326,赵县
132327,栾城县
132328,正定县
132329,新乐县
132330,高邑县
132331,元氏县
132332,赞皇县
132333,井陉县
132334,获鹿县
132335,平山县
132336,灵寿县
132337,行唐县
132400,保定地区
132401,定州市
132402,涿州市
132403,安国市
132404,高碑店市
132405,郊区
132421,易县
132422,满城县
132423,徐水县
132424,涞源县
132425,定兴县
132426,顺平县(完县)
132427,唐县
132428,望都县
132429,涞水县
132430,涿县
132431,清苑县
132432,高阳县
132433,安新县
132434,雄县
132435,容城县
132436,新城县
132437,曲阳县
132438,阜平县
132439,定县
132440,安国县
132441,博野县
132442,蠡县
132500,张家口地区
132501,张家口市
132502,桥东区
132503,桥西区
132504,茶坊区
132505,宣化区
132506,下花园区
132507,庞家堡区
132521,张北县
132522,康保县
132523,沽源县
132524,尚义县
132525,蔚县
132526,阳原县
132527,怀安县
132528,万全县
132529,怀来县
132530,涿鹿县
132531,宣化县
132532,赤城县
132533,崇礼县
132600,承德地区
132601,承德市
132602,双桥区
132603,双滦区
132604,鹰手营子矿区
132621,青龙县
132622,宽城满族自治县
132623,兴隆县
132624,平泉县
132625,承德县
132626,滦平县
